GPU: AMD Radeon RX 7900 XT (ROCm)
  torch.compile: enabled (inductor)
  AMP: enabled (fp16)
  SDPA backend: default
=== Co-Training [jolly-crane] ===
Device: cuda
Batch size: 16
Total steps: 1000
Variants: small, base, large
LR: 3.00e-04

  small: 8,936,960 params (256d/8L)
  base: 34,651,136 params (512d/8L)
  large: 66,909,440 params (640d/10L)

Generating shared validation set...
  [small] torch.compile enabled
  [base] torch.compile enabled
  [large] torch.compile enabled

Starting training from step 0
  [small] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b16/run_20260528_221513_small_jolly-crane/metrics.jsonl
  [base] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b16/run_20260528_221514_base_jolly-crane/metrics.jsonl
  [large] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b16/run_20260528_221514_large_jolly-crane/metrics.jsonl

   base: loss 5.3850 | acc 0.052 | lr 2.46e-04 | gn 0.80
  large: loss 5.3325 | acc 0.054 | lr 2.46e-04 | gn 0.86
step     335 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.0075 | acc 0.044 | lr 2.44e-04 | gn 0.83
   base: loss 5.5111 | acc 0.046 | lr 2.44e-04 | gn 0.78
  large: loss 5.4332 | acc 0.045 | lr 2.44e-04 | gn 0.86
step     340 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.0667 | acc 0.044 | lr 2.43e-04 | gn 0.86
   base: loss 5.5944 | acc 0.045 | lr 2.43e-04 | gn 0.99
  large: loss 5.5155 | acc 0.043 | lr 2.43e-04 | gn 0.94
step     345 | 64 g/s | 0.25s | active: small, base, large
  small: loss 5.9692 | acc 0.044 | lr 2.41e-04 | gn 0.64
   base: loss 5.5129 | acc 0.047 | lr 2.41e-04 | gn 0.69
  large: loss 5.4260 | acc 0.046 | lr 2.41e-04 | gn 0.83
step     350 | 64 g/s | 0.25s | active: small, base, large
  small: loss 5.9230 | acc 0.047 | lr 2.39e-04 | gn 0.77
   base: loss 5.4869 | acc 0.047 | lr 2.39e-04 | gn 0.79
  large: loss 5.3941 | acc 0.050 | lr 2.39e-04 | gn 0.87
step     355 | 64 g/s | 0.25s | active: small, base, large
  small: loss 5.9866 | acc 0.044 | lr 2.37e-04 | gn 0.94
   base: loss 5.5855 | acc 0.044 | lr 2.37e-04 | gn 0.79
  large: loss 5.4924 | acc 0.041 | lr 2.37e-04 | gn 1.02
step     360 | 64 g/s | 0.25s | active: small, base, large
  small: loss 5.8901 | acc 0.040 | lr 2.35e-04 | gn 0.97
   base: loss 5.5213 | acc 0.040 | lr 2.35e-04 | gn 0.88
  large: loss 5.4054 | acc 0.044 | lr 2.35e-04 | gn 1.06
step     365 | 64 g/s | 0.25s | active: small, base, large
  small: loss 5.8212 | acc 0.041 | lr 2.33e-04 | gn 0.98
   base: loss 5.4293 | acc 0.043 | lr 2.33e-04 | gn 0.72
  large: loss 5.3056 | acc 0.044 | lr 2.33e-04 | gn 0.99
step     370 | 64 g/s | 0.25s | active: small, base, large
  small: loss 5.6072 | acc 0.052 | lr 2.31e-04 | gn 0.99
   base: loss 5.2585 | acc 0.058 | lr 2.31e-04 | gn 1.00
  large: loss 5.1492 | acc 0.053 | lr 2.31e-04 | gn 1.07
step     375 | 64 g/s | 0.25s | active: small, base, large
  small: loss 5.7338 | acc 0.045 | lr 2.29e-04 | gn 0.82
   base: loss 5.3787 | acc 0.052 | lr 2.29e-04 | gn 0.90
  large: loss 5.2377 | acc 0.050 | lr 2.29e-04 | gn 1.17
step     380 | 64 g/s | 0.25s | active: small, base, large
  small: loss 5.9188 | acc 0.037 | lr 2.27e-04 | gn 1.00
   base: loss 5.6114 | acc 0.041 | lr 2.27e-04 | gn 0.85
  large: loss 5.4746 | acc 0.043 | lr 2.27e-04 | gn 1.01
step     385 | 63 g/s | 0.25s | active: small, base, large
  small: loss 5.7747 | acc 0.042 | lr 2.25e-04 | gn 0.75
   base: loss 5.4436 | acc 0.041 | lr 2.25e-04 | gn 0.84
  large: loss 5.3196 | acc 0.044 | lr 2.25e-04 | gn 0.93
step     390 | 64 g/s | 0.25s | active: small, base, large
  small: loss 5.8502 | acc 0.040 | lr 2.23e-04 | gn 0.86
   base: loss 5.5027 | acc 0.045 | lr 2.23e-04 | gn 1.01
  large: loss 5.3434 | acc 0.042 | lr 2.23e-04 | gn 1.23
step     395 | 63 g/s | 0.25s | active: small, base, large
  small: loss 5.7459 | acc 0.038 | lr 2.21e-04 | gn 0.85
   base: loss 5.4379 | acc 0.039 | lr 2.21e-04 | gn 0.96
  large: loss 5.2768 | acc 0.044 | lr 2.21e-04 | gn 0.98
step     400 | 64 g/s | 0.25s | active: small, base, large
  small: loss 5.8615 | acc 0.034 | lr 2.19e-04 | gn 0.85
   base: loss 5.5349 | acc 0.040 | lr 2.19e-04 | gn 1.00
  large: loss 5.3924 | acc 0.038 | lr 2.19e-04 | gn 1.00
step     405 | 64 g/s | 0.25s | active: small, base, large
  small: loss 5.8408 | acc 0.037 | lr 2.17e-04 | gn 1.03
   base: loss 5.5011 | acc 0.036 | lr 2.17e-04 | gn 1.00
  large: loss 5.3500 | acc 0.042 | lr 2.17e-04 | gn 1.02
step     410 | 64 g/s | 0.25s | active: small, base, large
  small: loss 5.6439 | acc 0.051 | lr 2.15e-04 | gn 0.88
